Time,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8
465,2.31588785,6.136882129,6.560784314,6.299242424,0.008403361,7.570048309,5.445182724,-0.016949153,8.203389831,6.942222222,8.019138756,0,4.61682243,5.772727273,5.667857143,-0.008333333,7.951456311,3.696897375,3.543577982,-0.048780488,7.317180617,2.82205029,3.576732673,-0.00862069,3.79787234,3.525164114,9.943181818,0,6.869387755,6.33976834,8.195121951,-0.008403361,1.736579276,5.929292929,3.547413793,0,6.769911504,3.278131635,3.152083333,-0.008474576
480,2.342056075,6.205323194,6.603921569,6.371212121,0.008403361,7.710144928,5.495016611,-0.016949153,8.11299435,7.102222222,8.105263158,-0.008403361,4.697819315,5.893939394,5.746428571,0,8.097087379,3.754176611,3.582568807,-0.048780488,7.418502203,2.854932302,3.646039604,-0.00862069,3.880319149,3.555798687,10.08522727,0,6.946938776,6.428571429,8.307317073,-0.008403361,1.762796504,5.986531987,3.577586207,0,6.920353982,3.299363057,3.18125,-0.008474576
495,1.8,6.197718631,6.701960784,6.443181818,0.008403361,7.821256039,5.53820598,-0.016949153,8.011299435,7.24,8.220095694,0,4.775700935,5.984848485,5.828571429,-0.008333333,8.223300971,3.806682578,3.614678899,-0.048780488,7.502202643,2.889748549,3.695544554,-0.00862069,3.954787234,3.582056893,10.22159091,0,7.004081633,6.482625483,8.429268293,-0.008403361,1.79650437,6.03030303,3.605603448,0,7.066371681,3.32059448,3.2,-0.008474576
510,2.598130841,6.19391635,6.733333333,6.507575758,0.016806723,7.927536232,5.594684385,-0.016949153,7.95480226,7.342222222,8.282296651,-0.008403361,4.853582555,6.098484848,5.917857143,0,8.344660194,3.856801909,3.644495413,-0.048780488,7.581497797,2.914893617,3.747524752,-0.00862069,4.026595745,3.601750547,10.33522727,0,7.069387755,6.552123552,8.541463415,-0.008403361,1.813982522,6.080808081,3.631465517,0,7.185840708,3.33970276,3.220833333,-0.008474576
525,2.73271028,6.16730038,6.784313725,6.564393939,0.008403361,8.028985507,5.624584718,-0.016949153,8.197740113,7.457777778,8.392344498,-0.008403361,4.92834891,6.185606061,5.982142857,-0.016666667,8.45631068,3.904534606,3.669724771,-0.048780488,7.647577093,2.932301741,3.801980198,-0.00862069,4.090425532,3.619256018,10.44886364,0,7.134693878,6.613899614,8.619512195,-0.008403361,1.821473159,6.117845118,3.646551724,0,7.305309735,3.360934183,3.2375,-0.008474576
540,2.68411215,6.19391635,6.815686275,6.602272727,0.008403361,8.130434783,5.671096346,-0.016949153,8.384180791,7.56,8.454545455,-0.008403361,5.003115265,6.276515152,6.053571429,-0.016666667,8.553398058,3.933174224,3.69266055,-0.048780488,7.726872247,2.945841393,3.856435644,-0.00862069,4.151595745,3.641137856,10.55113636,0,7.179591837,6.671814672,8.712195122,-0.008403361,1.826466916,6.158249158,3.661637931,-0.00862069,7.424778761,3.380042463,3.252083333,-0.008474576
555,2.699065421,6.368821293,6.843137255,6.651515152,0,8.217391304,5.717607973,-0.016949153,7.943502825,7.644444444,8.516746411,-0.008403361,5.07165109,6.359848485,6.121428571,-0.016666667,8.650485437,3.964200477,3.706422018,-0.048780488,7.814977974,2.959381044,3.878712871,-0.00862069,4.207446809,3.654266958,10.64772727,0,7.228571429,6.733590734,8.790243902,-0.008403361,1.831460674,6.191919192,3.674568966,-0.00862069,7.539823009,3.392781316,3.270833333,-0.008474576
570,2.902803738,6.809885932,6.890196078,6.689393939,0.008403361,8.309178744,5.794019934,-0.016949153,8.401129944,7.72,8.583732057,-0.008403361,5.133956386,6.450757576,6.182142857,-0.016666667,8.752427184,4,3.724770642,-0.048780488,7.876651982,2.972920696,3.920792079,-0.00862069,4.265957447,3.673960613,10.74431818,0,7.285714286,6.787644788,8.87804878,-0.008403361,1.833957553,6.215488215,3.685344828,0,7.632743363,3.40552017,3.283333333,-0.008474576
585,2.996261682,7.030418251,6.882352941,6.723484848,0.008403361,8.38647343,5.863787375,-0.016949153,8.757062147,7.8,8.645933014,-0.008403361,5.190031153,6.526515152,6.214285714,-0.008333333,8.825242718,4.021479714,3.736238532,-0.048780488,7.942731278,2.99032882,3.95049505,-0.00862069,4.311170213,3.693654267,10.8125,0,7.334693878,6.849420849,8.941463415,-0.008403361,1.837702871,6.245791246,3.6875,0,7.734513274,3.411889597,3.291666667,-0.016949153
600,3.056074766,7.144486692,6.894117647,6.734848485,0,8.468599034,5.930232558,-0.016949153,8.310734463,7.875555556,8.703349282,-0.008403361,5.239875389,6.609848485,6.267857143,-0.016666667,8.902912621,4.045346062,3.75,-0.040650407,8,2.994197292,3.977722772,-0.00862069,4.35106383,3.704595186,10.90909091,0,7.4,6.888030888,9,-0.008403361,1.838951311,6.269360269,3.672413793,0,7.827433628,3.422505308,3.308333333,-0.008474576
