Time,T,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8
450,30.1,1.79432029,1.743673283,1.813157391,-0.012121361,1.743825103,1.750864882,1.844495765,0.024541109,1.574915656,1.831730038,1.903020907,0.018127385,1.898842638,1.833330247,1.766532906,-0.006116227,1.709929451,1.637328166,1.57629275,0.035932009,1.987264102,1.871008841,1.843480754,0.018018506,1.782224236,1.915926982,1.79537611,0,1.9161243,1.703898113,1.816605468,-0.012195273,1.678692188,1.455066458,1.8930909,-0.006079046,1.879707356,1.750733205,1.866099025,0,1.706792187,1.836984567,1.598207575,-0.006042314,1.617530082,1.460495578,1.663433033,-0.012195273
465,30.1,1.808288771,1.772801555,1.840186063,-0.012121361,1.766324572,1.769444979,1.855282132,0.030583423,1.591279177,1.853079163,1.930633706,0.024097552,1.919848236,1.85875284,1.787598988,-0.006116227,1.724041295,1.662547738,1.598722399,0.076283305,2.005411424,1.890396401,1.865459661,0.023953241,1.810561433,1.936738248,1.823262817,0.006042314,1.939800716,1.724656222,1.840250098,-0.006079046,1.695281474,1.469388953,1.911870795,-0.006079046,1.905418788,1.762916097,1.890483224,0.006006024,1.732707833,1.860515065,1.616519379,0,1.638389734,1.479703851,1.682077096,-0.012195273
480,30.1,1.825169447,1.795274411,1.874148219,-0.012121361,1.772744203,1.788269064,1.868185536,0.012345836,1.605832449,1.871802177,1.956351079,0.024097552,1.938217803,1.880122409,1.80823043,-0.006116227,1.737328425,1.687769756,1.618177044,0.047628049,2.025908366,1.905333583,1.885927444,0.012048339,1.835282439,1.957656146,1.849253307,0,1.958018167,1.745536101,1.867438534,-0.012195273,1.713116342,1.483509208,1.929797011,-0.006079046,1.929909808,1.777441772,1.912564307,0,1.760736573,1.881337735,1.634501881,-0.006042314,1.660606199,1.496798285,1.70287835,-0.012195273
495,30.1,1.84237946,1.818396829,1.900739381,-0.012121361,1.786035355,1.826009392,1.875959035,0.012345836,1.620176957,1.889109261,1.978605921,0.030032287,1.956797573,1.900485103,1.825008376,-0.006116227,1.74982078,1.711155437,1.637869988,0.059188871,2.040747006,1.920050926,1.899855965,0.018018506,1.858297769,1.97449865,1.872916383,0.018018506,1.979664034,1.763855579,1.889924347,-0.006079046,1.727656583,1.494960665,1.943910148,-0.006079046,1.952126614,1.787337944,1.933042839,0,1.784228503,1.902266859,1.648268077,-0.006042314,1.680595107,1.514754168,1.717739305,-0.012195273
510,30.1,1.852082386,1.837639075,1.92274309,-0.012121361,1.802545836,1.848207862,1.890237147,0.024541109,1.633315095,1.905594612,1.999823914,0.018127385,1.972376722,1.91879352,1.845452018,-0.006116227,1.762158999,1.729836305,1.657780148,0.064919546,2.055368676,1.936538934,1.917124042,0.018018506,1.878622555,1.991062175,1.893853787,0,1.990313762,1.782369729,1.913587423,-0.006079046,1.741006596,1.502850252,1.957826874,-0.006079046,1.972757399,1.796161531,1.952558373,0,1.807181205,1.92276692,1.659918694,-0.006042314,1.697334314,1.535771698,1.736010215,-0.012195273
525,30.1,1.86705721,1.854315393,1.942086053,-0.006042314,1.817120085,1.869924242,1.897841746,0.012345836,1.646778275,1.92025456,2.018976346,0.030032287,1.988241677,1.936772757,1.861068621,-0.006116227,1.77070606,1.747001569,1.674368206,0.070617567,2.070801081,1.944927831,1.928638563,0.012048339,1.89854246,2.006345203,1.913292844,0,2.008162005,1.796938145,1.932887719,-0.012195273,1.753695883,1.511165292,1.969603261,-0.006079046,1.992971144,1.804424032,1.972241895,-0.006042314,1.826518103,1.938767262,1.670480482,-0.006042314,1.713234706,1.548062356,1.755138115,-0.018349139
540,30.1,1.881811092,1.87017572,1.959449484,-0.012121361,1.831484972,1.889073763,1.905925864,0.012345836,1.658105655,1.932651413,2.037236789,0.018127385,2.001790607,1.953903797,1.875899983,-0.006116227,1.780385506,1.762144549,1.690685585,0.064919546,2.084489508,1.95665244,1.943460968,0.018018506,1.917027275,2.02090004,1.932361218,0,2.022112115,1.809768703,1.953963884,-0.006079046,1.761906506,1.517961434,1.979312075,-0.006079046,2.011192441,1.81069667,1.988886575,0,1.843963389,1.954011459,1.679039736,-0.006042314,1.731102295,1.566764771,1.770997478,-0.018349139
555,30.1,1.889397939,1.882042094,1.974399042,-0.012121361,1.842396155,1.899034527,1.909676204,0.018462063,1.666881918,1.945403435,2.052028395,0.018127385,2.01464756,1.968656435,1.892125326,-0.006116227,1.787584098,1.775351746,1.706171985,0.064919546,2.099482293,1.962946336,1.951763824,0.018018506,1.93363378,2.032787253,1.949010927,0.006042314,2.029778904,1.821429165,1.968826153,-0.006079046,1.771480538,1.524711701,1.987970138,-0.006079046,2.029087656,1.816452082,2.004734767,-0.006042314,1.861609422,1.964545793,1.68564665,-0.006042314,1.745933657,1.581371469,1.786609243,-0.018349139
570,30.1,1.897504526,1.89588683,1.988606068,-0.012121361,1.853189568,1.902679415,1.912879623,0.012345836,1.676062944,1.956993386,2.066087465,0.024097552,2.028349881,1.981130609,1.905448198,-0.006116227,1.795324535,1.788949689,1.722542659,0.064919546,2.108862761,1.968241174,1.961444442,0.012048339,1.949462551,2.042586449,1.964372212,0.006042314,2.042930333,1.828460836,1.983470766,-0.006079046,1.781907173,1.531416707,1.995128365,0,2.043588169,1.820747006,2.020335708,-0.006042314,1.875505428,1.974476361,1.691275182,-0.006042314,1.760010771,1.59152384,1.796883306,-0.012195273
585,30.1,1.903828204,1.910585258,2.002098748,-0.012121361,1.867578306,1.91456279,1.924011464,0.018462063,1.685636976,1.965971002,2.079441542,0.018127385,2.037381553,1.989361109,1.917550424,-0.006116227,1.801238213,1.803475084,1.738098528,0.064919546,2.11766908,1.973985565,1.970077589,0.018018506,1.962047665,2.051324369,1.979000468,0,2.049940877,1.835940303,1.993801437,-0.006079046,1.788954418,1.536653567,2.000345356,-0.006079046,2.056359734,1.824549292,2.033662404,-0.006042314,1.888724714,1.984309282,1.696406987,-0.006042314,1.773362104,1.605251616,1.809859511,-0.018349139
600,30,1.914657606,1.924557025,2.015920315,-0.012121361,1.881241156,1.929347663,1.945910149,0.018462063,1.694175928,1.973391269,2.090098836,0.024097552,2.044846131,1.996507642,1.92847381,0,1.807117125,1.815055032,1.753958855,0.076283305,2.124948899,1.974939764,1.972938821,0.018018506,1.972498121,2.05758794,1.991441534,0.006042314,2.058388132,1.841389907,2.003517698,-0.006079046,1.795022115,1.541390667,2.004593651,-0.006079046,2.067967233,1.827391549,2.04480176,-0.006042314,1.901771529,1.993076995,1.701512591,-0.006042314,1.785489856,1.620344279,1.823222739,-0.018349139
615,30,1.998356624,1.937829297,2.027042775,-0.012121361,1.89368945,1.940419743,1.954639344,0.012345836,1.700767288,1.979777928,2.099644249,0.030032287,2.053239169,2.00511747,1.939790803,-0.006116227,1.812961677,1.825960265,1.769571554,0.070617567,2.130253951,1.979222426,1.976266612,0.012048339,1.980878747,2.063335083,1.999813905,0.023953241,2.065291513,1.84582669,2.011627221,-0.006079046,1.801515644,1.547985133,2.009761621,-0.006079046,2.075963277,1.83022575,2.054821884,0,1.911802662,1.999361763,1.706592261,-0.006042314,1.793840635,1.62703671,1.83422395,-0.018349139
630,30.1,2.079441542,1.96138338,2.038042886,-0.012121361,1.908019275,1.948892259,1.964306171,0.00619197,1.704046748,1.985150346,2.108108327,0.018127385,2.058143544,2.010649292,1.947941638,-0.006116227,1.821664952,1.836211232,1.78547014,0.053425167,2.135052425,1.979697147,1.980056289,0.012048339,1.987728089,2.067623867,2.007630261,0,2.070682362,1.84975404,2.016662478,-0.012195273,1.806588286,1.553136163,2.013036478,-0.006079046,2.084883059,1.833051941,2.063260752,-0.006042314,1.927833179,2.005128238,1.709352152,-0.006042314,1.804181989,1.633684651,1.850502117,-0.018349139
645,30.1,2.115328301,2.000242082,2.049415073,-0.012121361,1.927642547,1.962202783,1.980378843,0.012345836,1.714284157,1.990009442,2.115025351,0.018127385,2.06351072,2.016150681,1.953507046,0,1.833723668,1.847420316,1.798528566,0.076283305,2.138874694,1.98254075,1.983831659,0.012048339,1.993561844,2.071420739,2.013452694,0.006042314,2.075071542,1.852689463,2.02267151,-0.006079046,1.811635326,1.556865771,2.016766086,0,2.089804329,1.835401014,2.071629002,-0.012121361,1.953232836,2.011814032,1.713935111,-0.006042314,1.810335855,1.642817135,1.880719099,-0.018349139
660,30.1,2.134166441,2.032586124,2.056762644,-0.012121361,1.941005774,1.972434297,2.00060148,0.00619197,1.702642582,1.994362532,2.120916384,0.024097552,2.067880719,2.019635873,1.959543281,0.006079046,1.838847505,1.855877026,1.81244273,0.059188871,2.142207237,1.984432004,1.98759283,0.006042314,1.998879719,2.074258962,2.019241422,0.012048339,2.07847208,1.855129083,2.026657564,-0.012195273,1.814833866,1.560581521,2.019554192,-0.006079046,2.096165985,1.837276308,2.078955042,-0.006042314,1.970412282,2.017982497,1.717130732,-0.006042314,1.819496224,1.649862961,1.899855965,-0.018349139
675,30.1,2.14817797,2.05448481,2.066959382,0.017910927,1.958066875,1.987349176,2.044076203,0.012345836,1.693703449,1.996291173,2.126772916,0.024097552,2.070783479,2.02310896,1.96504467,0,1.84732932,1.86426282,1.822626117,0.064919546,2.146002308,1.987262195,1.992274486,0.012048339,2.00272958,2.07661801,2.023082041,0.012048339,2.082344301,1.857562767,2.034088859,-0.006079046,1.8189313,1.562896873,2.02187169,-0.006079046,2.101032174,1.838680474,2.084293565,-0.012121361,1.9815557,2.025522589,1.721678261,-0.006042314,1.828071308,1.658352401,1.929136199,-0.018349139
690,30,2.156224504,2.066595296,2.078009219,0.011976191,1.967686959,2.006271216,2.066268514,0.012345836,1.691811301,1.998696755,2.131627295,0.018127385,2.073677837,2.025088179,1.968529862,0,1.859640612,1.872578876,1.832706848,0.024097552,2.149311222,1.989144548,1.995072996,0.012048339,2.006564676,2.079441542,2.026430526,0.006042314,2.084274804,1.86047539,2.038521272,-0.006079046,1.824368558,1.565668237,2.02418383,-0.006079046,2.104424472,1.840549633,2.090085087,-0.006042314,1.988622868,2.032073853,1.723944294,-0.006042314,1.840549633,1.6809689,1.959033059,-0.018349139
